id,name,content,information,question_id
1,answer_1,"Longer if the vehicle is traveling at a higher speed.","Rules of the road answer type",1
2,answer_2,"Longer on a wet road than on a dry road","Rules of the road answer type",1
3,answer_3,"Longer if the vehicle is loaded.","Rules of the road answer type",1
4,answer_4,"If the road is clear for a long distance and can be done so without obstructing traffic.","Rules of the road answer type",2
5,answer_5,"In any manner as long as you use your indicator in time.","Rules of the road answer type",2
6,answer_6,"If the road is clear of traffic for a short distance.","Rules of the road answer type",2
7,answer_7,"60","Rules of the road answer type",3
8,answer_8,"45","Rules of the road answer type",3
9,answer_9,"30","Rules of the road answer type",3
10,answer_10,"Indicates that is is going to turn right.","Rules of the road answer type",4
11,answer_11,"Drives on the right hand side of the road with a shoulder where you can pass.","Rules of the road answer type",4
12,answer_12,"Drives in a town in the right-hand lane with two lanes in the same direction.","Rules of the road answer type",4
13,answer_13,"45","Rules of the road answer type",5
14,answer_14,"100","Rules of the road answer type",5
15,answer_15,"150","Rules of the road answer type",5
16,answer_16,"Switch on your indicator.","Rules of the road answer type",6
17,answer_17,"Check the bling spot","Rules of the road answer type",6
18,answer_18,"Looking the mirror","Rules of the road answer type",6
19,answer_19,"There is not enough space in the intersection to turn right without blocking other traffic","Rules of the road answer type",7
20,answer_20,"The vehicle in front of you wants to turn right and the road is wide enough to pass on the left-hand side","Rules of the road answer type",7
21,answer_21,"The robot (traffic signal) is yellow and you are already in the intersection","Rules of the road answer type",7
22,answer_22,"Pedestrians, who are already crossing the road when the red man signal starts showing, have right of way.","Rules of the road answer type",8
23,answer_23,"You can pass another vehicle waiting to turn right on its left side by going off the road.","Rules of the road answer type",8
24,answer_24,"You can stop in to off load passengers.","Rules of the road answer type",8
25,answer_25,"Stop and wait for the light to change to green before you go.","Rules of the road answer type",9
26,answer_26,"stop and go only if it is safe to do so.","Rules of the road answer type",9
27,answer_27,"Look out for road block as the light show you a police stop.","Rules of the road answer type",9
28,answer_28,"Call the local traffic department to report it","Rules of the road answer type",9
29,answer_29,"60","Rules of the road answer type",10
30,answer_30,"80","Rules of the road answer type",10
31,answer_31,"100","Rules of the road answer type",10
32,answer_32,"As fast as the other vehicle’s in the area","Rules of the road answer type",10
33,answer_33,"When is rains and you cannot see vehicles 100 m in front of you.","Rules of the road answer type",11
34,answer_34,"You tow another vehicle with a tow-bar.","Rules of the road answer type",11
35,answer_35,"At any time of day when you cannot see persons and vehicles 150 m in front of you.","Rules of the road answer type",11
36,answer_36,"Not pass any vehicle on the left-hand side.","Rules of the road answer type",12
37,answer_37,"Pass another vehicle at any place on the left hand side if it is turning right.","Rules of the road answer type",12
38,answer_38,"Pass another vehicle turning right,on the left-hand side without driving on the shoulder of the road.","Rules of the road answer type",12
39,answer_39,"Stop without swerving","Rules of the road answer type",13
40,answer_40,"swerve and stop next to it","Rules of the road answer type",13
41,answer_41,"swerve and pass","Rules of the road answer type",13
42,answer_42,"There must be someone with you in the vehicle with the same driving licence.","Rules of the road answer type",14
43,answer_43,"You are not allowed to drive on a freeway.","Rules of the road answer type",14
44,answer_44,"No passengers are allowed with you in the vehicle.","Rules of the road answer type",14
45,answer_45,"When you switch the emergency lights of your motor vehicle on.","Rules of the road answer type",15
46,answer_46,"When a traffic officer orders you to do so.","Rules of the road answer type",15
47,answer_47,"Under no circumstances.","Rules of the road answer type",15
48,answer_48,"If your vehicle has seat belts in the rear, it must be worn","Rules of the road answer type",16
49,answer_49,"You need not wear seat belt when reversing.","Rules of the road answer type",16
50,answer_50,"Children younger than 14 years need not wear seat belts.","Rules of the road answer type",16
51,answer_51,"If the front seat has a belt, your only passenger may not sit in the back","Rules of the road answer type",16
52,answer_52,"You already have a licence that authorizes the driving of the same vehicle class.","Rules of the road answer type",17
53,answer_53,"You are declared unfit to obtain a driving licence for a certain period and that period still prevails","Rules of the road answer type",17
54,answer_54,"Your licence was suspended temporarily and the suspension has not yet expired.","Rules of the road answer type",17
55,answer_55,"Opposite a vehicle, where the roadway is 10 m wide.","Rules of the road answer type",18
56,answer_56,"Where you are not allowed to park","Rules of the road answer type",18
57,answer_57,"5 m from a bridge","Rules of the road answer type",18
58,answer_58,"With a rope","Rules of the road answer type",19
59,answer_59,"With a tow-bar","Rules of the road answer type",19
60,answer_60,"On a trailer","Rules of the road answer type",19
61,answer_61,"0.75","Rules of the road answer type",20
62,answer_62,"1","Rules of the road answer type",20
63,answer_63,"1.5","Rules of the road answer type",20
64,answer_64,"When you are with in a traffic circle.","Rules of the road answer type",21
65,answer_65,"When you have stopped fist at a four way stop.","Rules of the road answer type",21
66,answer_66,"When you want to turn right at an intersection in a two way road.","Rules of the road answer type",21
67,answer_67,"Are nearing the top of a hill","Rules of the road answer type",22
68,answer_68,"Nearing a curve","Rules of the road answer type",22
69,answer_69,"Can only see 100 m in front of you because of smoke over the road.","Rules of the road answer type",22
70,answer_70,"With a rope","Rules of the road answer type",23
71,answer_71,"With a tow-bar","Rules of the road answer type",23
72,answer_72,"On a trailer","Rules of the road answer type",23
73,answer_73,"A motor car tows another motorcar with a rope and drive 40 km/h.","Rules of the road answer type",24
74,answer_74,"You tow another vehicle with a tow-bar.","Rules of the road answer type",24
75,answer_75,"A tractor tows a trailer with 10 passengers on it at a speed of 30km/h","Rules of the road answer type",24
76,answer_76,"Drinking and driving","Rules of the road answer type",24
77,answer_77,"Always be courteous and considerate towards fellow road users.","Rules of the road answer type",25
78,answer_78,"Do not exceed the speed limit.","Rules of the road answer type",25
79,answer_79,"Keep to the left side of the road as far as safe.","Rules of the road answer type",25
80,answer_80,"is always 120 km/m outside towns/cities?","Rules of the road answer type",26
81,answer_81,"can be determined by yourself if you look at the number on lanes which the road has","Rules of the road answer type",26
82,answer_82,"is shown to you by the signs next you the road","Rules of the road answer type",26
83,answer_83,"Slow down","Rules of the road answer type",27
84,answer_84,"Give other vehicle’s room to pass","Rules of the road answer type",27
85,answer_85,"Indicate your intensions and give the necessary signal in time","Rules of the road answer type",27
86,answer_86,"may use a little bit of alcohol for the shock","Rules of the road answer type",28
87,answer_87,"must check if anyone is injured","Rules of the road answer type",28
88,answer_88,"must immediately stop your vehicle","Rules of the road answer type",28
89,answer_89,"Switch on your indicator and change lanes.","Rules of the road answer type",29
90,answer_90," Give the necessary signal after looking for other traffic, change lanes.","Rules of the road answer type",29
91,answer_91,"Take a selfie","Rules of the road answer type",29
92,answer_92,"Apply the brakes lightly and then change lanes.","Rules of the road answer type",29
93,answer_93,"All of the above","Rules of the road answer type",1
